                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5834,                 3.3568,                  1.489,                0.46184,                0.34723,                 0.3212,                0.17897,                 1.5843,                 2.6114,                 1.4641,               0.070199,              0.0033113,              0.0033113
                      1,                 1.5432,                 2.2258,                 1.4363,                0.41466,                0.32711,                0.29386,                0.15419,                 1.7318,                 2.3821,                 1.5473,               0.040034,              0.0064801,              0.0064801
                      2,                 1.6048,                 2.0702,                 1.4792,                0.26008,                0.23687,                0.16327,                0.08549,                 1.8802,                 3.0129,                 1.7679,              0.0097048,               0.009484,               0.009484
                      3,                 1.6765,                 2.0375,                 1.5254,                 0.4944,                0.35343,                0.33994,                0.17199,                 1.7757,                 2.2014,                 1.6231,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.6697,                 1.9561,                 1.5229,                0.38998,                0.37598,                0.32598,                 0.1609,                 1.8155,                 2.1671,                 1.6731,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.6346,                 1.8855,                 1.5015,                0.39653,                0.39101,                0.36635,                0.18556,                 1.7813,                 2.0975,                 1.6349,                0.00901,                0.00901,                0.00901
                      6,                 1.6196,                  1.812,                 1.4757,                0.49906,                0.46048,                0.44051,                0.23239,                 1.6873,                 1.8274,                  1.561,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.5836,                 1.7439,                 1.4578,                 0.4913,                0.47496,                 0.4406,                0.24693,                 1.5921,                  1.763,                 1.5084,               0.008515,               0.008515,               0.008515
                      8,                 1.5639,                 1.6638,                 1.4549,                0.54899,                0.42288,                0.42765,                0.21391,                 1.7513,                 1.8586,                 1.6565,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.5449,                 1.6259,                 1.4338,                0.56529,                 0.4622,                0.48226,                0.27363,                 1.5304,                 1.5939,                 1.4496,                0.00802,                0.00802,                0.00802
                     10,                 1.5046,                 1.5724,                 1.4025,                0.58322,                0.48568,                0.50955,                0.28711,                 1.5573,                 1.5172,                 1.4395,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.5024,                 1.5448,                 1.4002,                0.55554,                0.48798,                0.50433,                0.29105,                 1.5376,                 1.5204,                 1.4381,               0.007525,               0.007525,               0.007525
