                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5834,                 3.3568,                  1.489,                0.46184,                0.34723,                 0.3212,                0.17897,                 1.5843,                 2.6114,                 1.4641,               0.070199,              0.0033113,              0.0033113
                      1,                 1.5391,                 2.2298,                 1.4438,                0.37689,                0.36049,                0.30884,                0.15826,                 1.7205,                   2.29,                 1.5626,                0.03987,              0.0063157,              0.0063157
                      2,                 1.5898,                 2.0423,                 1.4607,                0.44254,                0.33103,                0.30984,                0.15885,                  1.791,                 2.3055,                 1.6081,              0.0092109,              0.0089901,              0.0089901
                      3,                 1.6677,                  2.029,                 1.5139,                0.28203,                0.29437,                0.21744,                 0.1108,                 1.9093,                 2.6097,                 1.6874,               0.008515,               0.008515,               0.008515
                      4,                 1.6396,                 1.9438,                 1.5087,                0.40188,                0.37065,                0.33522,                0.17193,                 1.8007,                  2.081,                 1.6637,               0.008515,               0.008515,               0.008515
                      5,                 1.6114,                  1.842,                 1.4711,                0.39032,                0.37767,                0.30993,                0.15795,                 1.7515,                 2.2736,                 1.5915,                0.00802,                0.00802,                0.00802
                      6,                  1.593,                 1.7728,                 1.4532,                0.55128,                0.46278,                0.46655,                0.25282,                 1.6023,                 1.6909,                 1.4868,               0.007525,               0.007525,               0.007525
                      7,                 1.5338,                 1.6881,                 1.4206,                 0.4948,                0.34461,                0.36521,                0.20343,                 1.6791,                 2.1035,                 1.5898,                0.00703,                0.00703,                0.00703
                      8,                 1.5173,                 1.6153,                 1.4245,                0.56513,                0.41029,                0.44253,                0.24397,                  1.591,                 1.9982,                  1.513,               0.006535,               0.006535,               0.006535
                      9,                 1.5063,                 1.5808,                 1.4075,                0.55105,                0.52305,                 0.5442,                0.30204,                 1.5041,                 1.4501,                 1.4116,                0.00604,                0.00604,                0.00604
                     10,                 1.4952,                 1.5349,                 1.3893,                0.59119,                0.51512,                0.54453,                0.31258,                 1.4792,                 1.5721,                 1.3798,               0.005545,               0.005545,               0.005545
                     11,                 1.4381,                 1.4688,                 1.3724,                0.64724,                0.50264,                0.53945,                0.30289,                 1.5239,                 1.5259,                  1.419,                0.00505,                0.00505,                0.00505
                     12,                 1.4346,                 1.4044,                 1.3596,                0.61173,                0.54029,                0.59697,                0.35036,                 1.4244,                  1.353,                 1.3541,               0.004555,               0.004555,               0.004555
                     13,                 1.4119,                 1.3478,                 1.3403,                0.68429,                0.58632,                0.64248,                0.38218,                 1.3826,                 1.3059,                 1.3151,                0.00406,                0.00406,                0.00406
                     14,                 1.3534,                 1.2878,                 1.3106,                0.67861,                0.61937,                0.68194,                 0.4108,                 1.3558,                 1.2564,                 1.2936,               0.003565,               0.003565,               0.003565
                     15,                   1.34,                 1.2586,                 1.2922,                0.71071,                0.63108,                0.69297,                0.43404,                 1.3206,                 1.1726,                 1.2732,                0.00307,                0.00307,                0.00307
                     16,                  1.318,                 1.2248,                 1.2848,                0.73714,                0.64138,                0.71054,                0.44293,                 1.3169,                 1.1616,                 1.2625,               0.002575,               0.002575,               0.002575
                     17,                 1.2844,                 1.1512,                 1.2599,                0.77254,                0.65911,                0.74548,                0.47651,                 1.2695,                 1.0695,                 1.2359,                0.00208,                0.00208,                0.00208
                     18,                 1.2479,                 1.1052,                 1.2416,                 0.7573,                0.67141,                0.75423,                0.48734,                 1.2576,                  1.044,                 1.2258,               0.001585,               0.001585,               0.001585
                     19,                 1.2152,                  1.064,                 1.2173,                 0.7947,                0.69694,                0.76859,                0.50343,                 1.2187,                0.99794,                 1.2028,                0.00109,                0.00109,                0.00109
